time_s,env_id,base_x_m,pitch_rad,pitch_rate_rad_s,margin_m,fsm_phase,action_l2,reward
35.85,0,0.3399509787559509,-0.023442616686224937,-0.053219985216856,0.3278384208679199,4.0,0.0,0.45920807123184204
35.9,0,0.3407115340232849,-0.023665038868784904,-0.05331983044743538,0.32784518599510193,4.0,0.0,0.4594874083995819
35.95,0,0.3414788246154785,-0.023887384682893753,-0.05322662368416786,0.32784801721572876,4.0,0.0,0.45921340584754944
36.0,0,0.34225499629974365,-0.02410162054002285,-0.05585842952132225,0.3278523087501526,4.0,0.0,0.45811426639556885
36.05,0,0.34304073452949524,-0.0243211816996336,-0.05466093868017197,0.3278593420982361,4.0,0.0,0.45900872349739075
36.1,0,0.34384453296661377,-0.02455569989979267,-0.06065879389643669,0.32786789536476135,4.0,0.0,0.46007752418518066
36.15,0,0.3446441888809204,-0.02453513815999031,-0.04819270968437195,0.32790449261665344,4.0,0.0,0.4576362073421478
36.2,0,0.34547483921051025,-0.024432741105556488,-0.047586649656295776,0.32795295119285583,4.0,0.0,0.4573664963245392
36.25,0,0.34631967544555664,-0.024349771440029144,-0.04821998253464699,0.328009694814682,4.0,0.0,0.4569743573665619
36.3,0,0.34712597727775574,-0.02418697625398636,-0.04282418638467789,0.32804304361343384,4.0,0.0,0.4634339511394501
36.35,0,0.34781530499458313,-0.023853152990341187,-0.04215525835752487,0.3280218839645386,4.0,0.0,0.4595385491847992
36.4,0,0.3485412299633026,-0.023557955399155617,-0.04232713580131531,0.32802045345306396,4.0,0.0,0.45767834782600403
36.45,0,0.3492945432662964,-0.02330157719552517,-0.045498959720134735,0.3280317187309265,4.0,0.0,0.45927444100379944
36.5,0,0.35006967186927795,-0.023074569180607796,-0.043037496507167816,0.3280505836009979,4.0,0.0,0.45893198251724243
36.55,0,0.3507082164287567,-0.02307947352528572,-0.05063098296523094,0.32798850536346436,4.0,0.0,0.46349093317985535
36.6,0,0.35136842727661133,-0.02309482730925083,-0.049798429012298584,0.32793667912483215,4.0,0.0,0.46075156331062317
36.65,0,0.35205817222595215,-0.023182736709713936,-0.05036696419119835,0.3279015123844147,4.0,0.0,0.4605572819709778
36.7,0,0.35276463627815247,-0.023303093388676643,-0.050054050981998444,0.32787415385246277,4.0,0.0,0.4607069492340088
36.75,0,0.3534679710865021,-0.023449402302503586,-0.05057510361075401,0.3278576731681824,4.0,0.0,0.4603813588619232
36.8,0,0.35419395565986633,-0.023631006479263306,-0.05074329301714897,0.3278619945049286,4.0,0.0,0.4603172838687897
36.85,0,0.35492825508117676,-0.02381344698369503,-0.05466305464506149,0.3278653919696808,4.0,0.0,0.460505872964859
36.9,0,0.35566696524620056,-0.023978522047400475,-0.05132455378770828,0.32787221670150757,4.0,0.0,0.46008652448654175
36.95,0,0.356415718793869,-0.024158943444490433,-0.05248174071311951,0.29886388778686523,4.0,0.0,0.46043282747268677
37.0,0,0.3571763336658478,-0.024330364540219307,-0.05193069949746132,0.327884703874588,4.0,0.0,0.4599210321903229
37.05,0,0.3579404354095459,-0.024483898654580116,-0.05599193274974823,0.2988453507423401,4.0,0.0,0.4597618877887726
37.1,0,0.35872095823287964,-0.024653034284710884,-0.05618390813469887,0.29883700609207153,4.0,0.0,0.46021920442581177
37.15,0,0.359507292509079,-0.02481756918132305,-0.05608418211340904,0.29882121086120605,4.0,0.0,0.4600481688976288
37.2,0,0.36030787229537964,-0.025021996349096298,-0.05394463241100311,0.3278788924217224,4.0,0.0,0.4591543972492218
37.25,0,0.3611156642436981,-0.025202849879860878,-0.053572386503219604,0.3278799057006836,4.0,0.0,0.45904237031936646
37.3,0,0.36186954379081726,-0.024891462177038193,-0.033634621649980545,0.3279009759426117,4.0,0.0,0.46103808283805847
37.35,0,0.3624831736087799,-0.02433222532272339,-0.029981600120663643,0.32786470651626587,4.0,0.0,0.45582687854766846
37.4,0,0.36315688490867615,-0.023852497339248657,-0.03828603774309158,0.3278575539588928,4.0,0.0,0.46041756868362427
37.45,0,0.3638579547405243,-0.02340477705001831,-0.039161864668130875,0.3278668522834778,4.0,0.0,0.4595312774181366
37.5,0,0.364579439163208,-0.022988848388195038,-0.0402715690433979,0.3278818130493164,4.0,0.0,0.4600016474723816
37.55,0,0.3653126657009125,-0.022577974945306778,-0.041157566010951996,0.3279021680355072,4.0,0.0,0.4600696563720703
37.6,0,0.36605870723724365,-0.02217792347073555,-0.041875895112752914,0.32792556285858154,4.0,0.0,0.460206538438797
37.65,0,0.3667955994606018,-0.021789098158478737,-0.043540842831134796,0.32794082164764404,4.0,0.0,0.464599609375
37.7,0,0.36734095215797424,-0.02176632545888424,-0.04799976944923401,0.32784441113471985,4.0,0.0,0.46473777294158936
37.75,0,0.36791786551475525,-0.02177787572145462,-0.04861994460225105,0.327771931886673,4.0,0.0,0.46498486399650574
37.8,0,0.3685181140899658,-0.02184644527733326,-0.05188196152448654,0.32772254943847656,4.0,0.0,0.46374112367630005
37.85,0,0.36914390325546265,-0.02195233292877674,-0.05124778673052788,0.3276861906051636,4.0,0.0,0.4645371437072754
37.9,0,0.36977869272232056,-0.02205977961421013,-0.05181621015071869,0.3276583254337311,4.0,0.0,0.46259593963623047
37.95,0,0.37042665481567383,-0.02219521813094616,-0.053312093019485474,0.3276432454586029,4.0,0.0,0.46236366033554077
38.0,0,0.3710826337337494,-0.022298945114016533,-0.053095731884241104,0.32763099670410156,4.0,0.0,0.4616439640522003
38.05,0,0.3717370629310608,-0.022432886064052582,-0.048984892666339874,0.3276125490665436,4.0,0.0,0.462479829788208
38.1,0,0.37238505482673645,-0.02256547100841999,-0.049160949885845184,0.3275907039642334,4.0,0.0,0.4619363248348236
38.15,0,0.37306609749794006,-0.02275433950126171,-0.05364716798067093,0.3275870382785797,4.0,0.0,0.4605196714401245
38.2,0,0.3737778961658478,-0.023021331056952477,-0.05048444867134094,0.3275953531265259,4.0,0.0,0.4611388146877289
38.25,0,0.37449485063552856,-0.023269666358828545,-0.049234285950660706,0.3276206851005554,4.0,0.0,0.459544837474823
38.3,0,0.37522467970848083,-0.023507820442318916,-0.053005050867795944,0.3276391923427582,4.0,0.0,0.4603131115436554
38.35,0,0.37595486640930176,-0.023746198043227196,-0.05153868347406387,0.3276461362838745,4.0,0.0,0.46034926176071167
38.4,0,0.3766903877258301,-0.023974105715751648,-0.052008889615535736,0.3276568055152893,4.0,0.0,0.46024495363235474
38.45,0,0.37743261456489563,-0.024190019816160202,-0.051004040986299515,0.3276647925376892,4.0,0.0,0.4595015048980713
38.5,0,0.37818312644958496,-0.024394603446125984,-0.05323629826307297,0.3276721239089966,4.0,0.0,0.4598373770713806
38.55,0,0.37894362211227417,-0.024589793756604195,-0.04999391734600067,0.32768335938453674,4.0,0.0,0.45687219500541687
38.6,0,0.37971481680870056,-0.024797765538096428,-0.050131794065237045,0.32770007848739624,4.0,0.0,0.4600508511066437
38.65,0,0.380493700504303,-0.024998240172863007,-0.050113700330257416,0.29894813895225525,4.0,0.0,0.45608922839164734
38.7,0,0.38129696249961853,-0.025165844708681107,-0.0527719222009182,0.32771334052085876,4.0,0.0,0.4587382674217224
38.75,0,0.3821079730987549,-0.025326194241642952,-0.055018968880176544,0.2989180386066437,4.0,0.0,0.45833802223205566
38.8,0,0.3829320967197418,-0.02548891305923462,-0.053566787391901016,0.3277478516101837,4.0,0.0,0.4583783447742462
38.85,0,0.38376694917678833,-0.025534596294164658,-0.047456882894039154,0.2988920211791992,4.0,0.0,0.45610958337783813
38.9,0,0.3846439719200134,-0.0253278948366642,-0.04741588979959488,0.2989056408405304,4.0,0.0,0.455539733171463
38.95,0,0.3855304718017578,-0.025105472654104233,-0.05453993380069733,0.2989199757575989,4.0,0.0,0.458457887172699
39.0,0,0.3864159882068634,-0.024894539266824722,-0.048413120210170746,0.29892605543136597,4.0,0.0,0.45580610632896423
39.05,0,0.38732290267944336,-0.024659881368279457,-0.05374748259782791,0.2989422678947449,4.0,0.0,0.4587305188179016
39.1,0,0.38804420828819275,-0.0242119412869215,-0.038812290877103806,0.3280712068080902,4.0,0.0,0.4617307186126709
39.15,0,0.3887392282485962,-0.023735692724585533,-0.03721160441637039,0.32804834842681885,4.0,0.0,0.46014752984046936
39.2,0,0.38937264680862427,-0.023445716127753258,-0.03044905886054039,0.3279880881309509,4.0,0.0,0.4605143964290619
